node_id,degree,center_ptm,ego_original_size,ego_actual_size,ego_edges,was_subsampled,ego_mean_ptm,ego_max_ptm,ego_ptm_std,H0_ptm10,H1_ptm10,H2_ptm10,H3_ptm10,H0_without_ptm10,H1_without_ptm10,H2_without_ptm10,H3_without_ptm10,delta_H1_ptm10,delta_H2_ptm10,delta_H3_ptm10,H0_ptm25,H1_ptm25,H2_ptm25,H3_ptm25,H0_without_ptm25,H1_without_ptm25,H2_without_ptm25,H3_without_ptm25,delta_H1_ptm25,delta_H2_ptm25,delta_H3_ptm25,H0_ptm50,H1_ptm50,H2_ptm50,H3_ptm50,H0_without_ptm50,H1_without_ptm50,H2_without_ptm50,H3_without_ptm50,delta_H1_ptm50,delta_H2_ptm50,delta_H3_ptm50,H0_ptm75,H1_ptm75,H2_ptm75,H3_ptm75,H0_without_ptm75,H1_without_ptm75,H2_without_ptm75,H3_without_ptm75,delta_H1_ptm75,delta_H2_ptm75,delta_H3_ptm75,H0_ptm90,H1_ptm90,H2_ptm90,H3_ptm90,H0_without_ptm90,H1_without_ptm90,H2_without_ptm90,H3_without_ptm90,delta_H1_ptm90,delta_H2_ptm90,delta_H3_ptm90,H0_ptm100,H1_ptm100,H2_ptm100,H3_ptm100,H0_without_ptm100,H1_without_ptm100,H2_without_ptm100,H3_without_ptm100,delta_H1_ptm100,delta_H2_ptm100,delta_H3_ptm100,H0_ptm_slope,H0_ptm_range,H1_ptm_slope,H1_ptm_range,H2_ptm_slope,H2_ptm_range,H3_ptm_slope,H3_ptm_range,delta_H1_ptm_slope,delta_H1_ptm_range,delta_H2_ptm_slope,delta_H2_ptm_range,delta_H3_ptm_slope,delta_H3_ptm_range,time_seconds,is_ad,timestamp
2048,191,63,13015,300,3425,True,71.42,6070,406.4088872059763,1,47,44,1,1,89,63,2,-42,-19,-1,1,47,44,1,1,89,63,2,-42,-19,-1,1,47,44,1,1,89,63,2,-42,-19,-1,1,47,44,1,1,89,63,2,-42,-19,-1,1,61,68,9,1,106,102,6,-45,-34,3,1,35,86,43,1,64,113,49,-29,-27,-6,8.982146526069662e-17,0,-0.5142857142857122,26,8.057142857142855,42,6.685714285714282,42,1.599999999999994,16,-2.4285714285714293,15,-0.3714285714285712,9,2.8053030967712402,True,2025-11-29T23:05:10.341767
10241,487,666,14903,300,2754,True,67.82,6070,425.6329728768672,1,0,0,0,1,224,26,1,-224,-26,-1,1,0,0,0,1,224,26,1,-224,-26,-1,1,0,0,0,1,224,26,1,-224,-26,-1,1,0,0,0,1,224,26,1,-224,-26,-1,1,0,0,0,1,255,29,1,-255,-29,-1,1,0,0,0,1,154,50,11,-154,-50,-11,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,7.342857142857107,101,-3.6857142857142846,24,-1.428571428571428,10,3.1241798400878906,True,2025-11-29T23:05:13.466420
2,186,0,12724,300,2291,True,51.906666666666666,6070,380.32590141730924,1,78,64,0,1,141,54,0,-63,10,0,1,78,64,0,1,141,54,0,-63,10,0,1,78,64,0,1,141,54,0,-63,10,0,1,78,64,0,1,141,54,0,-63,10,0,1,98,99,0,1,177,86,0,-79,13,0,1,70,133,15,1,121,126,11,-51,7,4,8.982146526069662e-17,0,0.5714285714285764,28,12.85714285714286,69,2.1428571428571423,15,0.34285714285714275,28,-0.17142857142857112,6,0.5714285714285711,4,2.7102062702178955,True,2025-11-29T23:05:16.177168
79882,178,3150,13449,300,7230,True,47.43333333333333,3150,276.48499456972735,1,26,52,71,1,43,69,84,-17,-17,-13,1,26,52,71,1,43,69,84,-17,-17,-13,1,26,52,71,1,43,69,84,-17,-17,-13,1,26,52,71,1,43,69,84,-17,-17,-13,1,21,62,103,1,39,77,122,-18,-15,-19,1,10,30,68,1,20,43,78,-10,-13,-10,8.982146526069662e-17,0,-2.714285714285712,16,-2.2857142857142834,32,2.314285714285717,35,0.9142857142857124,8,0.7428571428571416,4,-0.08571428571428664,9,11.653873205184937,True,2025-11-29T23:05:27.831443
12,115,0,8958,300,5082,True,42.623333333333335,3080,246.09245171050836,1,104,24,12,1,96,21,12,8,3,0,1,104,24,12,1,96,21,12,8,3,0,1,104,24,12,1,96,21,12,8,3,0,1,104,24,12,1,96,21,12,8,3,0,1,93,56,14,1,83,46,14,10,10,0,1,81,65,13,1,69,44,13,12,21,0,8.982146526069662e-17,0,-4.228571428571422,23,8.599999999999998,41,0.3142857142857147,2,0.7428571428571431,4,3.1714285714285704,18,0.0,0,3.6436851024627686,True,2025-11-29T23:05:31.476427
2066,176,119,10492,300,3628,True,42.17,2319,211.43699085070233,1,73,84,2,1,107,77,2,-34,7,0,1,73,84,2,1,107,77,2,-34,7,0,1,73,84,2,1,107,77,2,-34,7,0,1,73,84,2,1,107,77,2,-34,7,0,1,79,107,2,1,115,101,2,-36,6,0,1,50,78,42,1,65,83,35,-15,-5,7,8.982146526069662e-17,0,-2.771428571428569,29,1.1142857142857197,29,5.714285714285712,40,2.5428571428571405,21,-1.799999999999998,12,0.9999999999999996,7,2.4142210483551025,True,2025-11-29T23:05:33.891576
19,32,8,8453,300,3213,True,41.79666666666667,3080,242.93954389701346,1,34,16,9,1,28,15,9,6,1,0,1,34,16,9,1,28,15,9,6,1,0,1,34,16,9,1,28,15,9,6,1,0,1,34,16,9,1,28,15,9,6,1,0,1,39,20,7,1,32,18,7,7,2,0,1,25,31,3,1,21,26,3,4,5,0,8.982146526069662e-17,0,-0.8571428571428559,14,2.4857142857142858,15,-1.0285714285714274,6,-0.19999999999999926,3,0.657142857142857,4,0.0,0,2.2772228717803955,True,2025-11-29T23:05:36.169243
25,219,40,14198,300,4914,True,77.49333333333334,3080,309.61156840287623,1,53,99,7,1,106,132,20,-53,-33,-13,1,53,99,7,1,106,132,20,-53,-33,-13,1,53,99,7,1,106,132,20,-53,-33,-13,1,53,99,7,1,106,132,20,-53,-33,-13,1,36,106,44,1,83,175,65,-47,-69,-21,1,24,46,42,1,49,87,83,-25,-41,-41,8.982146526069662e-17,0,-5.599999999999991,29,-6.971428571428558,60,8.171428571428569,37,4.514285714285706,28,-4.228571428571431,36,-4.685714285714284,28,3.1211330890655518,True,2025-11-29T23:05:39.290913
27,103,78,12095,300,4400,True,47.29666666666667,2319,197.66487292609403,1,39,63,14,1,46,73,11,-7,-10,3,1,39,63,14,1,46,73,11,-7,-10,3,1,39,63,14,1,46,73,11,-7,-10,3,1,39,63,14,1,46,73,11,-7,-10,3,1,36,95,32,1,41,105,24,-5,-10,8,1,28,81,98,1,32,91,95,-4,-10,3,8.982146526069662e-17,0,-1.8285714285714258,11,5.314285714285716,32,13.54285714285714,84,0.5999999999999989,3,-9.580956294474307e-16,0,0.4285714285714289,5,3.0831639766693115,True,2025-11-29T23:05:42.375817
10273,620,33,16733,300,6726,True,79.06666666666666,3080,298.70083509908187,1,0,0,0,1,83,199,37,-83,-199,-37,1,0,0,0,1,83,199,37,-83,-199,-37,1,0,0,0,1,83,199,37,-83,-199,-37,1,0,0,0,1,87,238,45,-87,-238,-45,1,0,0,0,1,67,283,189,-67,-283,-189,1,0,0,0,1,20,74,92,-20,-74,-92,8.982146526069662e-17,0,0.0,0,0.0,0,0.0,0,10.257142857142853,67,9.54285714285713,209,-21.114285714285714,152,4.673243999481201,True,2025-11-29T23:05:47.049475
